position,rotation,velocity,angular_velocity
[7.757727 0.1000907 -23.39221],[0.999604 0.01581497 0.005218959 0.02268001],[-0.6038272 0.0 -0.1278518],[0.008601837 -0.001549804 0.06077799]
[7.745571 0.1000907 -23.39463],[0.999588 0.01589928 0.005210546 0.02332737],[-0.6077895 0.0 -0.1206292],[0.008809439 -0.00166522 0.06469036]
[7.733332 0.1000907 -23.39689],[0.9995703 0.01598519 0.005201572 0.02401184],[-0.6119717 0.0 -0.1134305],[0.008993784 -0.001775653 0.06840035]
[7.721004 0.1000907 -23.39902],[0.9995515 0.01607237 0.005192067 0.02473098],[-0.6163865 0.0 -0.1062547],[0.009140699 -0.001880478 0.07186801]
[7.708583 0.1000907 -23.401],[0.9995312 0.01616043 0.005182065 0.02548202],[-0.6210454 0.0 -0.09910112],[0.00924996 -0.001978612 0.07505894]
[7.696064 0.1000907 -23.40284],[0.9995098 0.0162491 0.005171605 0.02626189],[-0.625959 0.0 -0.09196924],[0.009328438 -0.002068703 0.0779421]
[7.683441 0.1000907 -23.40454],[0.9994869 0.01633795 0.005160729 0.02706722],[-0.6311364 0.0 -0.08485858],[0.009362377 -0.002150554 0.08049057]
[7.670709 0.1000907 -23.40609],[0.9994626 0.01642662 0.005149482 0.0278945],[-0.6365853 0.0 -0.07776888],[0.009359446 -0.002223189 0.08268653]
[7.657863 0.1000907 -23.40751],[0.9994374 0.01651491 0.005137921 0.02873993],[-0.6423121 0.0 -0.07070002],[0.009333795 -0.002284945 0.08450389]
[7.644896 0.1000907 -23.40878],[0.9994108 0.01660241 0.005126094 0.02959966],[-0.6483216 0.0 -0.06365196],[0.009264708 -0.00233673 0.08593632]
[7.631804 0.1000907 -23.40991],[0.9993833 0.01668886 0.00511406 0.03046971],[-0.6546171 0.0 -0.05662482],[0.009167217 -0.002377236 0.08697127]
[7.618579 0.1000907 -23.4109],[0.9993548 0.01677394 0.005101873 0.03134607],[-0.6612003 0.0 -0.04961886],[0.009034667 -0.002406685 0.08760481]
[7.605218 0.1000907 -23.41175],[0.9993255 0.01685738 0.005089593 0.0322247],[-0.6680714 0.0 -0.04263445],[0.008875171 -0.002424499 0.08783566]
[7.591713 0.1000907 -23.41247],[0.9992957 0.0169389 0.005077275 0.03310168],[-0.6752288 0.0 -0.03567204],[0.008682676 -0.002431335 0.08767265]
[7.57806 0.1000907 -23.41304],[0.999265 0.01701825 0.005064977 0.03397309],[-0.6826696 0.0 -0.02873225],[0.008465003 -0.002426779 0.08711969]
[7.564252 0.1000907 -23.41348],[0.9992341 0.01709531 0.005052758 0.03483516],[-0.6903894 0.0 -0.02181575],[0.008230423 -0.002410667 0.08618949]
